index,股票名称,发布时间,清洗后评论,情感,事件类型,置信度,关键词
800,奥克股份,2026/11/25 10:34,追赶三维化学,中性,其他,2,追赶三维化学
801,奥克股份,2026/11/25 10:23,"周末选的,但是看开盘低开没买,哎",消极,市场情绪,2,低开
802,奥克股份,2026/11/25 10:22,放量滞涨,中性,业绩相关,2,放量滞涨
803,奥克股份,2026/11/25 10:21,"过两天就认识奥克,怎么样了",中性,其他,2,奥克
804,奥克股份,2026/11/25 10:15,"有研新材已经涨停了,都是研究固态电池的……",积极,重大事项,2,固态电池、涨停
805,奥克股份,2026/11/25 10:13,快跑拉高出货,消极,市场情绪,3,出货、拉高出货、放量滞胀
806,奥克股份,2026/11/25 9:50,大资金一直流出不能买,消极,市场情绪,3,大资金流出、买不进
807,奥克股份,2026/11/25 10:09,不买了吧韭菜人家都跑了你们还买。哈哈,消极,市场情绪,3,韭菜、出货
808,奥克股份,2026/11/25 10:06,"放量滞胀,出货了。",消极,市场情绪,3,放量滞胀、出货
809,奥克股份,2026/11/25 10:06,"出货形态,",消极,市场情绪,3,出货形态
810,奥克股份,2026/11/25 10:04,预计今天收跌,中性,其他,3,市场走势预测
811,奥克股份,2026/11/25 10:01,9.15一层,中性,其他,3,9.15一层
812,奥克股份,2026/11/25 9:56,"板块还行,可以套利",积极,市场情绪,3,套利
813,奥克股份,2026/11/25 9:55,"承接是强,出货的筹码都被收",中性,其他,3,承接、出货
814,奥克股份,2026/11/25 8:45,"大跌之后的走势,只说三点核心内容:1、今天市场收出大阳线反包几乎是不可能出现的,",中性,其他,3,大跌、走势、大阳线
815,奥克股份,2026/11/25 9:54,砸盘开始了,消极,市场情绪,3,砸盘、套死、出货
816,奥克股份,2026/11/25 9:25,套死你们让你们买本来就一日游你自己幻想,消极,市场情绪,3,套死、一日游
817,奥克股份,2026/11/25 9:48,8.34割了,消极,其他,3,割了
818,奥克股份,2026/11/25 9:40,赶紧跑别进了肯定出货了,消极,市场情绪,3,赶紧跑、出货
819,奥克股份,2026/11/25 9:38,粤桂和石大又涨停,积极,业绩相关,2,涨停
820,奥克股份,2026/11/22 9:51,开了这个开了这个开了这个昨天的都没出,消极,市场情绪,2,跳水、资金出逃、避险
821,奥克股份,2026/11/25 8:33,今天全韭菜要肯定跌。千万别买,消极,市场情绪,3,韭菜、跌
822,奥克股份,2026/11/25 9:03,能不能走出5个板?,中性,其他,2,板、走势
823,奥克股份,2026/11/25 8:38,"美元持续走高,对A股是一大不利消息,周五资金出逃也是基于此原由有关联,奥克从八十",消极,监管,2,美元走高、A股不利、资金出逃
824,奥克股份,2026/11/23 2:26,"上周五小A盘中跳水?有消息称原因是避险资金出逃所至,而奥克在下星期一可能会有习惯",消极,市场情绪,2,跳水、避险资金、出逃
825,奥克股份,2026/11/25 8:26,固态电池新龙头,中性,行业政策,2,固态电池
826,奥克股份,2026/11/24 10:12,"周五受粤桂股份、滨海能源、石大胜华秒板刺激,9:36就封板,固态电池300的低位",中性,市场情绪,2,"封板,刺激"
827,奥克股份,2026/11/25 8:02,两年亏损会ST吧?拉高出货吧?,消极,造假,3,"两年亏损,ST,拉高出货"
828,奥克股份,2026/11/25 6:28,"今天独树一帜,再长高20厘米",积极,其他,2,长高
829,奥克股份,2026/11/25 6:20,"今天独树一格,再长高20厘米!",积极,其他,2,长高
830,奥克股份,2026/11/25 1:00,明天低开低走洗盘,中性,市场情绪,2,洗盘、解套、连板
831,奥克股份,2026/11/24 9:53,"华为公布电池材料方面的新专利,该专利名为《电解液添加剂及其制备方法、电解液和钠离",中性,行业政策,2,华为、专利、电解液
832,奥克股份,2026/11/12 10:07,主力是筹码不够吗再涨一点解套就给你了。真是浪费时间,消极,市场情绪,3,主力、筹码、浪费时间
833,奥克股份,2026/11/24 9:38,"800天了,我应该是为数不多解套了且没有走的,明天连板了~",积极,重大事项,2,解套、连板
834,奥克股份,2026/11/24 9:40,"800天了,我应该是为数不多解套了还没有走的,明天连板了!",积极,重大事项,2,解套、连板
835,奥克股份,2026/11/24 9:34,明天继续涨停,积极,市场情绪,3,涨停、溢价、打板
836,奥克股份,2026/11/24 4:49,"有溢价就走,打板进的!",积极,市场情绪,3,溢价、打板
837,奥克股份,2026/11/4 9:16,机器人人工皮肤的必需成分PEG,中性,行业政策,2,机器人、人工皮肤、PEG
838,奥克股份,2026/11/24 3:07,"奥克股份本周融资净偿还458.34万元,居化学原料板块第十七",中性,业绩相关,3,融资净偿还、化学原料板块
839,奥克股份,2026/11/24 1:30,"我上个月就埋伏了,第一波看好五倍",积极,其他,2,埋伏、五倍
840,奥克股份,2026/11/24 10:59,"吹一次固态电池套一批新股民,可是过后看没有一个商用的。。。。。。。。。",消极,造假,3,固态电池、新股民、商用
841,奥克股份,2026/11/24 1:30,"周末热度超级高,周一抢",积极,市场情绪,2,周末热度、周一抢
842,奥克股份,2026/11/24 8:09,"固态电池新龙头,下周一继续涨停。",积极,业绩相关,3,固态电池、龙头、涨停
843,奥克股份,2026/11/24 12:58,龙虎榜很漂亮,中性,其他,2,龙虎榜
844,奥克股份,2026/11/24 12:58,"固态电池新龙头,明天高开秒涨停板",积极,业绩相关,3,固态电池、龙头、高开
845,奥克股份,2026/11/24 4:00,"像韩国一样禁止做空一年,让大盘牛市一年。",积极,市场情绪,2,乐观、超跌反弹、溢价
